training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.8177633,-8.177634,0.81776345,0.2065315,6.936083,0.9999999,-6.936083,1.0,0.99902344,0.0009765625,0.0077451016,-6.930628,-6.930628,-6.9306273,0.0009877516,0.00097258895,0.00096998166,0.011049474,-0.016012855,0.888988,1.8273066,-8.273068,0.8273068,0.23038998,6.9362516,0.9999998,-6.9362516,1.0,0.99902344,0.0009765625,0.0077451016,-6.930744,-6.930743,-6.9307437,0.0009789183,0.00097245345,0.0009697971,0.18707047839164734,935.3524045944214,5000
1.8218422,-8.218423,0.8218423,0.21672875,6.938234,0.9999998,-6.938234,1.0,0.99902344,0.0009765625,0.007745104,-6.9310913,-6.9310913,-6.931092,0.000976204,0.0009715868,0.0009313929,0.0790606,-0.11932949,1.4403344,1.8285043,-8.285046,0.8285045,0.23338424,6.937143,0.9999998,-6.937143,1.0,0.99902344,0.0009765625,0.007745103,-6.930519,-6.9305196,-6.9305196,0.0009774076,0.0009720019,0.0009625723,0.017642064237594606,1023.562732219696,10000
1.8030581,-8.030582,0.80305827,0.16976866,6.934802,0.9999999,-6.934802,1.0,0.99902344,0.0009765625,0.0077451104,-6.927737,-6.9277377,-6.927737,0.000981497,0.00097595085,0.0009662434,0.01931238,-0.016420783,0.9087202,1.8093772,-8.093774,0.80937743,0.18556646,6.939738,0.9999998,-6.939738,1.0,0.99902344,0.0009765625,0.007745108,-6.9331007,-6.933101,-6.933101,0.000978755,0.0009708301,0.0009664627,0.01773381862640381,1112.2318320274353,15000
1.7882876,-7.8828783,0.7882879,0.13284254,6.9370775,0.9999998,-6.9370775,1.0,0.99902344,0.0009765625,0.00774527,-6.9309177,-6.930918,-6.9309177,0.0009732322,0.00097205606,0.00036581213,0.01579233,-0.009314953,0.5406513,1.7975405,-7.9754066,0.79754066,0.15597457,6.9375944,0.9999999,-6.9375944,1.0,0.99902344,0.0009765625,0.007745101,-6.9306555,-6.9306555,-6.9306555,0.0009735,0.0009721747,0.00096771243,0.017727207946777342,1200.8678781986237,20000
1.7995418,-7.995419,0.79954195,0.1609778,6.9357123,0.9999999,-6.9357123,1.0,0.99902344,0.0009765625,0.007745101,-6.9306192,-6.9306197,-6.93062,0.00097484293,0.0009726762,0.0009705822,0.01409211,-0.018034257,0.7114159,1.8013021,-8.013022,0.80130225,0.16537863,6.9356446,0.9999998,-6.9356446,1.0,0.99902344,0.0009765625,0.007745101,-6.9304924,-6.9304924,-6.9304924,0.000974565,0.0009728214,0.0009704166,0.01766973009109497,1289.2165341377258,25000
1.7951827,-7.951828,0.7951828,0.15007994,6.9343834,0.9999999,-6.9343834,1.0,0.99902344,0.0009765625,0.0077451104,-6.927414,-6.927414,-6.927414,0.0009786234,0.0009761251,0.00097202265,0.01934904,-0.018042717,0.7487532,1.798382,-7.983822,0.79838216,0.1580784,6.9390736,0.9999999,-6.9390736,1.0,0.99902344,0.0009765625,0.007745104,-6.932247,-6.9322476,-6.9322476,0.00097634323,0.0009714529,0.0009689351,0.017673332738876342,1377.5832040309906,30000
1.7864945,-7.864946,0.7864946,0.12835942,6.935691,0.9999998,-6.935691,1.0,0.99902344,0.0009765625,0.007745111,-6.9274373,-6.927437,-6.927437,0.0009790662,0.0009756617,0.0009717733,0.29597244,-0.10900316,1.476387,1.7879792,-7.879794,0.7879794,0.13207144,6.944475,0.9999998,-6.944475,1.0,0.99902344,0.0009765625,0.0077451216,-6.935218,-6.935218,-6.935218,0.0009732535,0.0009682119,0.00096380914,0.01773538885116577,1466.2601540088654,35000
1.7811625,-7.8116264,0.7811626,0.11502958,6.936524,0.9999998,-6.936524,1.0,0.99902344,0.0009765625,0.007745101,-6.930869,-6.930869,-6.930869,0.0009730271,0.0009722314,0.000971587,0.022288438,-0.011489807,0.46181533,1.783186,-7.8318605,0.7831861,0.12008807,6.9356523,0.9999998,-6.9356523,1.0,0.99902344,0.0009765625,0.007745101,-6.930575,-6.930575,-6.930575,0.0009728995,0.0009725886,0.0009723884,0.017683391046524048,1554.6771159172058,40000
1.7745572,-7.745574,0.77455735,0.09851638,6.956376,0.9999999,-6.956376,1.0,0.99902344,0.0009765625,0.0077456078,-6.9208984,-6.9208984,-6.9208984,0.0010125748,0.0009824671,0.0009524855,0.011261433,-0.011947488,0.5444065,1.7812856,-7.8128576,0.78128576,0.11533733,6.9834466,0.9999999,-6.9834466,1.0,0.99902344,0.0009765625,0.0077457754,-6.9432087,-6.9432087,-6.9432077,0.0009948296,0.0009609502,0.0009269565,0.01773620352745056,1643.3581397533417,45000
1.7699188,-7.699189,0.7699189,0.08692029,6.933743,0.9999999,-6.933743,1.0,0.99902344,0.0009765625,0.0077451393,-6.923674,-6.9236746,-6.9236736,0.0009843326,0.0009793133,0.0009742565,0.02232679,-0.014460843,0.4070317,1.7795892,-7.7958927,0.7795893,0.11109609,6.9510393,0.9999998,-6.9510393,1.0,0.99902344,0.001953125,0.0077451593,-6.938375,-6.938375,-6.9383745,0.0009728786,0.0009652025,0.0009575097,0.017715677356719972,1731.9365327358246,50000
