training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.013671875,0.007178398,-7.8517094,-7.8531165,-6.412242,0.05980622,0.0027433233,9.2650123e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.009765625,0.007290377,-7.5463753,-7.5475025,-6.3927727,0.2927422,0.0028597778,1.5125525e-07,0.08892044358253479,444.6022300720215,5000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.01953125,0.007150612,-8.026615,-8.028243,-6.3621883,3.9286761,0.007292091,1.24303e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0068359375,0.00729994,-7.7770243,-7.7783194,-6.4524126,1.2458851,0.0034261486,4.159374e-09,0.005349123430252075,471.3478527069092,10000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902534,0.056640625,0.0066637406,-8.368914,-8.371378,-5.8472285,5.282252,0.018663516,8.941784e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.02734375,0.006964118,-7.8501143,-7.851876,-6.0485096,0.2148239,0.0042266175,2.0215487e-06,0.005367775249481201,498.1867344379425,15000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902725,0.056640625,0.0065102186,-8.684296,-8.687291,-5.61922,241549.28,128.13603,2.0591156e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0234375,0.006617218,-8.492875,-8.4956045,-5.699988,2.2306573,0.019131972,1.79746e-07,0.0053610038280487065,524.9917595386505,20000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902534,0.09375,0.0059952987,-9.525993,-9.530327,-5.0921936,11.001048,0.076085955,5.171324e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99899864,0.041992188,0.0064276676,-8.970095,-8.973653,-5.3294306,9.927312,0.06859642,2.6507378e-08,0.005352769184112548,551.7556111812592,25000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902916,0.123046875,0.0061801663,-9.516715,-9.5208435,-5.293449,80.28547,0.11893085,1.16003385e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9989443,0.055664062,0.006560207,-9.229585,-9.233481,-5.24358,10.576296,0.16010004,4.616479e-08,0.005366274929046631,578.5869917869568,30000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990339,0.12402344,0.0056531914,-9.995096,-10.000301,-4.6698318,15.161814,0.14842932,6.4271376e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99878025,0.06640625,0.006433082,-9.792092,-9.797059,-4.7100587,79.64815,0.40626642,8.9072205e-07,0.005361946249008179,605.3967297077179,35000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990387,0.15234375,0.0052567273,-10.511391,-10.517372,-4.3914156,14.681845,0.16987512,1.4809839e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9986963,0.055664062,0.0062641664,-10.097335,-10.102684,-4.6247964,27.11728,0.29830584,5.200977e-06,0.0053693552494049075,632.2435116767883,40000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990425,0.13964844,0.0054147043,-10.261206,-10.2669,-4.4341364,49.014904,0.2243292,1.9895376e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99872017,0.06738281,0.0061330916,-10.176845,-10.182494,-4.3970704,24.097116,0.2575797,3.641669e-08,0.005359840869903564,659.0427238941193,45000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990549,0.17871094,0.0050706277,-10.709936,-10.716433,-4.0647206,13.071338,0.3048108,4.2962456e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99862385,0.0703125,0.005979616,-10.40032,-10.406195,-4.3900266,67.47928,0.3061766,7.467849e-07,0.005359022903442383,685.8378441333771,50000
