training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.7751621,-7.7516212,0.77516216,0.10002835,7.2611237,0.99999994,-7.2611237,1.0,0.99902344,0.0068359375,0.0071852393,-8.107585,-8.109292,-6.3610225,0.19813283,0.0031435024,2.4614884e-19,0.010249291,-0.014722757,0.37082994,1.7791021,-7.7910213,0.77910215,0.109878294,7.3249893,0.9999999,-7.3249893,1.0,0.99902344,0.005859375,0.0071864873,-8.164206,-8.165972,-6.3589144,0.17375456,0.0032354672,7.205139e-11,0.08806783032417298,440.3391652107239,5000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990225,0.01171875,0.0071893856,-8.141759,-8.143544,-6.3154488,0.38472185,0.0040102825,1.10551944e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9990063,0.009765625,0.0073092394,-8.169856,-8.171659,-6.3245993,20.815338,0.020181142,4.9499005e-07,0.005341731834411621,467.0478308200836,10000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990244,0.07324219,0.006624832,-8.579466,-8.582229,-5.7527533,13.692196,0.021997333,5.9709015e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99882317,0.029296875,0.007999247,-8.645216,-8.648131,-5.6633806,105499.81,334.07373,3.068724e-07,0.005359285831451416,493.84426641464233,15000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902534,0.06933594,0.006524668,-8.642935,-8.645944,-5.564044,10.486431,0.029188504,1.065259e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9989557,0.03125,0.0070878044,-8.872062,-8.875195,-5.6670933,8938.053,18.34275,2.3805981e-07,0.00535122241973877,520.600385427475,20000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.009765625,0.06697373,-70.61613,-70.61858,-68.10104,1.4126493,0.005302527,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0048828125,0.05983447,-62.46985,-62.4726,-59.6573,198188.48,519.37146,0.0,0.00535110297203064,547.3559067249298,25000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902534,0.078125,0.006465644,-8.896875,-8.900124,-5.5737057,24.314268,0.037456557,6.859004e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99880505,0.045898438,0.007398435,-9.180996,-9.184642,-5.4521203,1443005.4,3101.9365,4.1495966e-07,0.005364149808883667,574.1766622066498,30000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990263,0.08496094,0.006365518,-9.192471,-9.196067,-5.5134716,15.9657,0.038531773,2.257871e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9989481,0.034179688,0.007011147,-9.387415,-9.391277,-5.436607,108275.69,168.6636,5.872837e-08,0.005356429386138916,600.9588174819946,35000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902534,0.09082031,0.006288528,-9.198007,-9.201716,-5.402546,2.0849962,0.029832035,6.154214e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99886036,0.033203125,0.0068883887,-9.64341,-9.647569,-5.388966,175.36192,0.59908575,3.1720337e-08,0.005362565994262695,627.7716538906097,40000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990301,0.095703125,0.006077609,-9.69544,-9.69999,-5.0409117,8.900221,0.101054266,4.82081e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99885464,0.041992188,0.0066469656,-10.103165,-10.107968,-5.1893964,1008.0272,2.9161735,7.92169e-08,0.005355794429779053,654.5506324768066,45000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990282,0.09765625,0.0060188146,-9.561332,-9.565674,-5.1186657,10.02526,0.082673274,7.2293226e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9989462,0.037109375,0.006295395,-9.675289,-9.679656,-5.207203,9.33063,0.09362359,6.872413e-07,0.00535624589920044,681.3318693637848,50000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990301,0.10644531,0.0058696265,-10.189419,-10.194437,-5.055742,13.493395,0.091489926,9.381294e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9988384,0.048828125,0.0065539195,-10.104108,-10.109221,-4.8732862,52.59086,0.319505,3.664593e-08,0.005370691776275634,708.1853349208832,55000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990463,0.14648438,0.005478352,-10.1748085,-10.18032,-4.53864,5.544582,0.15760013,6.2912555e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99833584,0.05859375,0.0066424953,-10.158375,-10.163904,-4.5023007,19.367907,0.38338822,1.61667e-06,0.0053591170787811275,734.9809265136719,60000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990158,0.14257812,0.005354817,-10.135637,-10.141263,-4.3804255,26.633322,0.28636974,4.655217e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.998476,0.068359375,0.006473316,-9.987507,-9.992988,-4.3817086,80.315186,0.7309731,4.0564137e-07,0.00535893669128418,761.7756161689758,65000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990511,0.1484375,0.005248706,-10.003723,-10.009294,-4.306403,16.71155,0.20841856,1.0001872e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9983454,0.07324219,0.0069605117,-10.115081,-10.120832,-4.2306414,1284.9535,3.5093966,1.034911e-05,0.005357874917984009,788.5649971961975,70000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902153,0.16015625,0.0051928684,-10.04011,-10.045875,-4.1417017,36.547394,0.28318262,3.571025e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99845505,0.080078125,0.007126537,-9.916998,-9.922533,-4.254454,208.47267,2.4709291,1.1032499e-05,0.005356277084350586,815.3463909626007,75000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99905014,0.17382812,0.0051035113,-10.148611,-10.15447,-4.1536374,15.905,0.24167319,1.5764572e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9985733,0.07421875,0.0065941233,-9.872702,-9.878207,-4.2401166,309.80582,1.1374886,8.059687e-06,0.0053582480907440186,842.1376373767853,80000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99905777,0.171875,0.0050374474,-10.168589,-10.174588,-4.0307174,23.830837,0.38369405,8.306303e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99826527,0.09082031,0.007791628,-9.941481,-9.947149,-4.1421137,351.68243,3.9942985,2.226577e-06,0.005360241746902466,868.9388525485992,85000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990616,0.1875,0.0050064214,-9.96359,-9.969415,-4.0048885,15.799787,0.28254923,2.4016356e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9985781,0.0703125,0.006272981,-9.778625,-9.783999,-4.2796593,129.08163,0.88986814,5.8175174e-06,0.005354077434539795,895.7092456817627,90000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990654,0.17773438,0.0050114873,-10.006337,-10.012188,-4.0191665,52.525635,0.3526001,2.4902588e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99825954,0.11035156,0.00699277,-9.978795,-9.9845,-4.1419296,382.15182,1.5283358,3.4819245e-06,0.0053596715927124025,922.5076105594635,95000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990549,0.18359375,0.005050104,-10.147667,-10.153641,-4.0369296,20.328375,0.37773624,1.0973966e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99822235,0.095703125,0.006763491,-10.056548,-10.062357,-4.113911,99.94957,0.881884,1.2741368e-05,0.005360857486724853,949.3119049072266,100000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990511,0.1953125,0.004908723,-10.165142,-10.171273,-3.8915236,16.764427,0.31891814,1.5200315e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9985037,0.10253906,0.006564466,-9.986689,-9.99221,-4.3360147,45.562267,0.8234657,7.279734e-07,0.06671818208694458,1282.9028215408325,105000
