training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.050023,-20.501621,2.050162,0.114658244,7.010952,0.99986094,-7.0099783,1.0,0.9990244,0.046875,0.0064152176,-8.699357,-8.702418,-5.5675106,1.1714278,0.015756834,7.935445e-06,0.013318189,-0.012660619,0.45598316,3.0531726,-20.531727,2.0531726,0.11752544,6.986326,0.9999999,-6.986326,1.0,0.99902344,0.028320312,0.006519785,-8.759038,-8.762077,-5.6494174,0.23017791,0.00934112,2.6543023e-06,0.1830058982372284,915.0295038223267,5000
3.0333648,-20.35064,2.0350642,0.10027926,6.644017,0.9983007,-6.632728,1.0,0.999033,0.103515625,0.005894708,-9.090788,-9.0948,-4.9863873,9.206605,0.052730918,1.8446829e-06,0.009101856,-0.010600532,0.40431845,3.040649,-20.408577,2.0408576,0.10579686,6.97232,0.9997913,-6.970866,1.0,0.99901867,0.08984375,0.006058448,-9.11936,-9.123206,-5.1852384,6.2502427,0.037104852,1.7873337e-07,0.00962643051147461,963.1616680622101,10000
3.0274644,-20.305279,2.030528,0.095958985,6.5985117,0.9969364,-6.578297,1.0,0.99903774,0.140625,0.0056667337,-9.2829075,-9.28738,-4.7071753,22.751436,0.105473,1.3815194e-06,0.006622327,-0.0078254305,0.39001712,3.0337076,-20.33935,2.033935,0.09920384,6.952657,0.9997724,-6.951076,1.0,0.9990063,0.10546875,0.0059284503,-9.369655,-9.373918,-5.009045,4.465264,0.0478016,2.5327722e-06,0.009656769943237305,1011.445531129837,15000
3.0254462,-20.30177,2.030177,0.09562487,6.6849246,0.99526906,-6.6532993,1.0,0.9990349,0.18554688,0.0053863465,-9.412256,-9.417122,-4.4335294,14.27545,0.14645918,2.60043e-06,0.0061993254,-0.008245879,0.37503242,3.02911,-20.302994,2.0302992,0.09574146,6.881384,0.9988107,-6.8732004,1.0,0.99895287,0.13085938,0.005839985,-9.432244,-9.436819,-4.752448,13.765506,0.096196115,1.3359123e-06,0.009647772502899169,1059.6844062805176,20000
3.0206938,-20.256191,2.0256193,0.09128417,6.532259,0.99507445,-6.500085,1.0,0.99903965,0.19042969,0.00523339,-9.57151,-9.576673,-4.2915373,44.738018,0.1775761,1.04944e-06,0.008486812,-0.0075552855,0.36242536,3.0269012,-20.282808,2.028281,0.093819104,6.6334734,0.9986202,-6.6243215,1.0,0.99896145,0.13378906,0.005796427,-9.552986,-9.557737,-4.6925344,10.271569,0.09644222,5.2788533e-07,0.009653201675415038,1107.9504282474518,25000
3.024845,-20.283325,2.0283325,0.09386813,6.4487205,0.99651235,-6.4262304,1.0,0.999033,0.18847656,0.00524666,-9.675662,-9.680869,-4.348308,13.615021,0.11864957,1.7886783e-06,0.011390139,-0.009703557,0.34767988,3.027319,-20.28265,2.028265,0.09380393,7.014312,0.99905396,-7.007677,1.0,0.999012,0.13476562,0.0059379167,-9.532793,-9.537311,-4.910867,13.077545,0.10123625,4.2743142e-07,0.009650651788711547,1156.2036972045898,30000
3.0173922,-20.245699,2.02457,0.09028484,6.5224094,0.99282205,-6.4755926,1.0,0.9990454,0.23242188,0.005110237,-9.706165,-9.71164,-4.1048565,13.857603,0.2037983,1.9675913e-06,0.008124829,-0.008711517,0.35987437,3.0239239,-20.255203,2.0255203,0.091189906,6.905984,0.99840355,-6.8949604,1.0,0.9989977,0.16113281,0.0057377806,-9.57304,-9.577864,-4.6379347,41.958977,0.1854999,5.8711936e-07,0.009650309753417968,1204.4552569389343,35000
