training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.3452168,-7.876275,2.3628826,0.13119173,5.8699107,0.98233426,-5.7662153,1.0,0.999094,0.48828125,0.004012618,-11.4876175,-11.495975,-2.937322,10.065087,0.49185297,2.619877e-07,0.030440487,-0.025121095,0.9522736,3.35319,-7.8969345,2.3690805,0.13635668,6.116292,0.9841095,-6.019102,1.0,0.9986315,0.27734375,0.005453681,-11.342761,-11.350635,-3.2883239,78.30093,0.6577844,1.05048485e-07,0.07122647771835328,356.13240361213684,5000
3.2845008,-7.8043222,2.3412967,0.113203436,5.266099,0.9432042,-4.9670076,1.0,0.9992151,0.57421875,0.0030979668,-12.6046505,-12.615242,-1.7685454,52.477043,1.5212379,3.98438e-07,0.030803585,-0.04290843,1.1045684,3.3393607,-7.872939,2.3618817,0.13035777,6.4973245,0.97747904,-6.3509994,1.0,0.9985266,0.29785156,0.0052497727,-12.174335,-12.18345,-2.8498814,159.99992,1.2516,1.537045e-10,0.0025266679286956788,368.7657551765442,10000
3.2656386,-7.770089,2.3310268,0.1046453,4.8345237,0.93461186,-4.518404,1.0,0.9992809,0.6660156,0.0025213275,-13.448819,-13.460845,-1.1465867,68.18693,1.9748065,1.09336895e-08,0.05596818,-0.05527596,1.2075288,3.3227465,-7.825902,2.3477705,0.11859835,6.6589913,0.9749761,-6.492358,1.0,0.99861526,0.30371094,0.0050531756,-13.195266,-13.205482,-2.7444189,218.01086,1.7724372,1.6628059e-08,0.0025355071544647216,381.4432964324951,15000
3.2066584,-7.7254214,2.3176265,0.093478344,4.551151,0.8890318,-4.0461187,1.0,0.9993582,0.7001953,0.0021187337,-14.110172,-14.123501,-0.47421387,87.22197,3.3623095,1.3718354e-06,0.039151445,-0.0388178,0.88921696,3.31597,-7.825602,2.347681,0.1185235,7.2099733,0.9682889,-6.9813375,1.0,0.9985647,0.3095703,0.005640231,-13.711002,-13.721286,-3.191926,517.1436,2.9638047,1.3593654e-08,0.0025369917869567872,394.12826108932495,20000
3.151593,-7.7180557,2.3154168,0.09163697,4.2232337,0.83617616,-3.5313683,1.0,0.99940586,0.7548828,0.001853423,-14.624552,-14.638859,0.010991015,242.98415,4.9221983,3.3009943e-07,0.049402624,-0.04167165,0.9392977,3.3220963,-7.8268743,2.3480625,0.11884149,7.616906,0.9740338,-7.4191246,1.0,0.99856377,0.2998047,0.0060862163,-14.354845,-14.365494,-3.461958,308.7275,3.223835,4.2159537e-10,0.002536889362335205,406.81271409988403,25000
3.156847,-7.7210274,2.3163085,0.09237988,3.9495354,0.8405385,-3.3197374,1.0,0.999424,0.7841797,0.0017382922,-15.068187,-15.082833,-0.08577365,124.96521,3.9846025,5.0505837e-06,0.036916427,-0.024550823,0.7569804,3.3188295,-7.810119,2.343036,0.114652775,7.9072404,0.9757937,-7.715836,1.0,0.99866104,0.29785156,0.005933432,-14.780716,-14.7915125,-3.7344973,310.6049,2.7549906,1.1266349e-09,0.002536004590988159,419.4927427768707,30000
3.1404781,-7.69433,2.308299,0.0857055,3.9006329,0.8321792,-3.246026,1.0,0.9994316,0.796875,0.0016379191,-15.406394,-15.421462,0.00793856,268.6284,4.734784,2.5765308e-07,0.061871137,-0.055644765,1.1087443,3.3297725,-7.8277617,2.3483286,0.11906333,8.3748,0.981444,-8.219398,1.0,0.9987564,0.30566406,0.0061286697,-15.194152,-15.204986,-4.111913,1621.2505,4.5491223,4.283211e-10,0.0025324280261993406,432.15488839149475,35000
3.1330676,-7.7034254,2.311028,0.08797939,3.8469372,0.8220397,-3.1623359,1.0,0.9994259,0.8027344,0.001546449,-15.714355,-15.729911,0.20059603,165.32196,5.040303,2.8961696e-07,0.040853728,-0.03768667,0.84017044,3.3090506,-7.7834644,2.3350394,0.10798904,7.9776106,0.9740113,-7.7702837,1.0,0.9984331,0.29296875,0.0066253142,-15.567633,-15.57899,-3.9492931,452.1162,3.817367,1.3024344e-10,0.002537472677230835,444.842257976532,40000
3.1119366,-7.7294097,2.318823,0.0944754,3.8624969,0.79311347,-3.0633993,1.0,0.9994755,0.8154297,0.0015000107,-15.677565,-15.693212,0.3299503,301.61887,5.8804317,2.7671085e-08,0.052351713,-0.06433575,1.0165161,3.3114715,-7.7947874,2.3384364,0.11081983,8.425444,0.97303516,-8.198254,1.0,0.9985504,0.31152344,0.006542447,-15.588159,-15.599445,-4.04191,680.0075,4.2582254,1.0513947e-11,0.0025391056537628176,457.5377924442291,45000
3.1154675,-7.7107887,2.3132367,0.08982015,3.654932,0.8022308,-2.9320996,1.0,0.99952984,0.8417969,0.001349342,-15.952573,-15.968638,0.48264268,321.00333,6.1037025,6.7329418e-09,0.07152688,-0.09399603,1.2327952,3.315537,-7.7888994,2.33667,0.109347865,8.551204,0.978867,-8.370492,1.0,0.9986963,0.2919922,0.006617953,-15.740022,-15.750989,-4.520174,474.80887,3.3124685,6.803549e-11,0.002534707498550415,470.2113358974457,50000
